@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
39,'2016/09/18 14:56:02:937',1,38.712753,1.254525,0.076708,0.269421,0.139591,0.110057,-0.054483,0.277376,0.275946,0.145993,0.196526,0.291428,0.226845,0.264733,516.189453,1,?,?,?
40,'2016/09/18 14:56:03:018',1,38.799118,1.28967,0.062276,0.259739,0.1393,0.115696,-0.062285,0.267021,0.27142,0.14355,0.185468,0.30626,0.216977,0.266614,565.360901,1,?,?,?
41,'2016/09/18 14:56:03:100',1,38.43557,1.300896,0.057305,0.261646,0.137611,0.120632,-0.072239,0.267325,0.276092,0.136629,0.180214,0.302108,0.223231,0.26489,572.309021,1,?,?,?
42,'2016/09/18 14:56:03:169',1,38.025211,1.306788,0.068582,0.268743,0.135263,0.115595,-0.073424,0.265158,0.282183,0.13111,0.164948,0.304512,0.217735,0.269293,529.195557,1,?,?,?
43,'2016/09/18 14:56:03:331',1,35.727646,1.381551,0.089073,0.255873,0.118606,0.159873,-0.130245,0.282936,0.297632,0.122314,0.123982,0.329096,0.212612,0.279824,439.147705,1,?,?,?
44,'2016/09/18 14:56:03:413',1,34.428764,1.423695,0.091558,0.24892,0.115733,0.181435,-0.151985,0.291827,0.306407,0.11547,0.10405,0.342331,0.213643,0.281008,393.159668,1,?,?,?
45,'2016/09/18 14:56:03:495',1,33.628601,1.462629,0.092617,0.249705,0.109113,0.203429,-0.170946,0.303731,0.306549,0.110602,0.095461,0.348043,0.210358,0.283822,347.205688,1,?,?,?
46,'2016/09/18 14:56:03:657',1,32.605194,1.522643,0.096476,0.256897,0.10149,0.230182,-0.188279,0.311001,0.309024,0.105744,0.084661,0.356794,0.211649,0.299359,254.50386,1,?,?,?
47,'2016/09/18 14:56:03:738',1,32.374126,1.524879,0.094038,0.256194,0.113251,0.213005,-0.173438,0.307276,0.301702,0.111334,0.081477,0.349587,0.21647,0.298397,209.490372,1,?,?,?
48,'2016/09/18 14:56:03:819',1,32.012207,1.537529,0.095234,0.250923,0.121927,0.216566,-0.18725,0.321453,0.29082,0.111746,0.079967,0.341939,0.229209,0.29172,162.556335,1,?,?,?
49,'2016/09/18 14:56:03:889',1,31.699141,1.572997,0.092402,0.230761,0.136854,0.226992,-0.202949,0.328227,0.283287,0.109872,0.070741,0.356903,0.220473,0.297523,157.441956,1,?,?,?
50,'2016/09/18 14:56:03:970',1,31.247253,1.630005,0.078219,0.217641,0.153088,0.240973,-0.221266,0.33535,0.280634,0.113255,0.062637,0.365723,0.223777,0.296425,162.961792,1,?,?,?
51,'2016/09/18 14:56:04:214',1,31.383648,1.585246,0.071242,0.219417,0.195117,0.201399,-0.173372,0.325459,0.264541,0.130931,0.086005,0.334596,0.243793,0.291347,162.698669,1,?,?,?
52,'2016/09/18 14:56:04:295',1,31.522245,1.598915,0.070354,0.212517,0.205794,0.194822,-0.170708,0.321971,0.25918,0.142578,0.080948,0.333581,0.242206,0.294759,162.185654,1,?,?,?
53,'2016/09/18 14:56:04:376',1,31.242516,1.530481,0.087038,0.206051,0.222547,0.186829,-0.1506,0.311148,0.256895,0.15089,0.093074,0.32286,0.24629,0.281461,162.069656,1,?,?,?
54,'2016/09/18 14:56:04:458',1,30.848755,1.54031,0.098197,0.198104,0.224245,0.180432,-0.144992,0.300466,0.264313,0.151367,0.086699,0.32952,0.241157,0.276625,162.181396,1,?,?,?
55,'2016/09/18 14:56:04:539',1,30.275377,1.565233,0.106584,0.200104,0.204508,0.202576,-0.161845,0.305555,0.264956,0.151315,0.085468,0.333714,0.237878,0.276603,162.566132,1,?,?,?
56,'2016/09/18 14:56:04:609',1,29.862148,1.575611,0.11475,0.206143,0.194151,0.205794,-0.152449,0.291908,0.276023,0.147812,0.091011,0.336609,0.231675,0.276511,162.617279,1,?,?,?
57,'2016/09/18 14:56:04:690',1,29.683298,1.589137,0.118494,0.208875,0.187177,0.206029,-0.147018,0.283412,0.278052,0.157853,0.095401,0.328733,0.230431,0.276593,162.42836,1,?,?,?
58,'2016/09/18 14:56:04:772',1,29.354794,1.593177,0.126081,0.20755,0.168508,0.21503,-0.148823,0.2775,0.277737,0.156799,0.10518,0.319245,0.224904,0.281889,157.359039,1,?,?,?
